Table 2 features column,model_type,features,pixel_accuracy,iou_avg,dataset,loss,iou_0,iou_1,recall_0,recall_1,precision_1,precision_0,target_band,num_classes,thin_cloud_class,model_file,lr,patience,optimizer
All Bands,CDnetV2,"[""cloudy_B1"",""cloudy_B2"",""cloudy_B3"",""cloudy_B4"",""cloudy_B6"",""cloudy_B7"",""cloudy_B9"",""cloudy_Radiance_B10_B11_mean""]",0.9317304280993244,0.8629674547021278,split_main_landsat.csv,CDnetV2Loss,0.8985107495149752,0.8274241598892802,0.955677718220826,0.8905257588863252,0.9211174919911976,0.9375806742074528,cloudy_cloud_mask,2,2,model_hash_75d694da70de52d.pth,0.00003,5,
TIR/Meteo,CDnetV2,"[""cloudy_Radiance_B10_B11_mean"",""acqt_surface_pressure"",""acqt_dewpoint_2m"",""acqt_skin_temp"",""acqt_total_precip_log"",""acqt_snow_cover_log""]",0.892807977760177,0.7927600934464532,split_main_landsat.csv,CDnetV2Loss,0.8458713472810484,0.7396488396118579,0.93017453333273,0.8285135814345688,0.8733532086103925,0.9032233900977914,cloudy_cloud_mask,2,2,model_hash_6f24743e635db22.pth,0.00006,5,
TIR/Aux,CDnetV2,"[""cloudy_Radiance_B10_B11_mean"",""clear_Radiance_B10_B11_mean"",""acqt_surface_pressure"",""acqt_dewpoint_2m"",""acqt_skin_temp"",""acqt_total_precip_log"",""acqt_snow_cover_log"",""dem""]",0.8890839165187313,0.7858644118286275,split_main_landsat.csv,CDnetV2Loss,0.8414935353300247,0.7302352883272304,0.931063666434385,0.8168518727199313,0.8732027018622358,0.8974059887712401,cloudy_cloud_mask,2,2,model_hash_98d3f7b87998c52.pth,0.00003,5,
TIR/Clear,CDnetV2,"[""cloudy_Radiance_B10_B11_mean"",""clear_Radiance_B10_B11_mean""]",0.8720267145516645,0.7584041317936216,split_main_landsat.csv,CDnetV2Loss,0.8179729218272451,0.6988353417599982,0.909291848092316,0.8079068290477068,0.8380924740192744,0.8906484623620883,cloudy_cloud_mask,2,2,model_hash_5425a77e0b03823.pth,0.00003,5,
TIR/DEM,CDnetV2,"[""cloudy_Radiance_B10_B11_mean"",""dem""]",0.8643001438111297,0.7446816891526118,split_main_landsat.csv,CDnetV2Loss,0.8092857285348118,0.6800776497704117,0.9104982698940358,0.7848097925501608,0.835962270231091,0.8792307934332974,cloudy_cloud_mask,2,2,model_hash_1184d2dbbe3e96c.pth,0.00003,5,
TIR,CDnetV2,"[""cloudy_Radiance_B10_B11_mean""]",0.8786337160016832,0.770992112395098,split_main_landsat.csv,CDnetV2Loss,0.8245946678634656,0.7173895569267306,0.902146014054373,0.8381775116135028,0.8327239937811186,0.9055928338621296,cloudy_cloud_mask,2,2,model_hash_0ced34263921fa9.pth,0.00003,5,
All Bands,SegFormer,"[""cloudy_B1"",""cloudy_B2"",""cloudy_B3"",""cloudy_B4"",""cloudy_B6"",""cloudy_B7"",""cloudy_B9"",""cloudy_Radiance_B10_B11_mean""]",0.9283325678310343,0.8581049950108702,split_main_landsat.csv,Dice,0.8921023803750621,0.8241076096466784,0.9369269418512632,0.9135447427034477,0.8938174935771712,0.9491011329416796,cloudy_cloud_mask,2,2,model_hash_cc5fb78768dde51.pth,0.000033333333333333335,5,
TIR/Meteo,SegFormer,"[""cloudy_Radiance_B10_B11_mean"",""acqt_surface_pressure"",""acqt_dewpoint_2m"",""acqt_skin_temp"",""acqt_total_precip_log"",""acqt_snow_cover_log""]",0.9032936342618878,0.8109747236386766,split_main_landsat.csv,Dice,0.8599080616688227,0.7620413856085305,0.9385879791729554,0.8425647668296504,0.8885632362968476,0.9111743538993552,cloudy_cloud_mask,2,2,model_hash_5e7480379ce1422.pth,0.00003,5,
TIR/Aux,SegFormer,"[""cloudy_Radiance_B10_B11_mean"",""clear_Radiance_B10_B11_mean"",""acqt_surface_pressure"",""acqt_dewpoint_2m"",""acqt_skin_temp"",""acqt_total_precip_log"",""acqt_snow_cover_log"",""dem""]",0.9004864705009362,0.806769598061875,split_main_landsat.csv,Dice,0.8553559129769773,0.7581832831467727,0.9304849564710912,0.8488698706677398,0.876496834757217,0.9137463836538564,cloudy_cloud_mask,2,2,model_hash_9742c85b4a511f3.pth,0.00003,5,
TIR/Clear,SegFormer,"[""cloudy_Radiance_B10_B11_mean"",""clear_Radiance_B10_B11_mean""]",0.8987137451960443,0.8069267429271432,split_main_landsat.csv,Dice,0.848915453346396,0.7649380325078903,0.8998620887111611,0.8967378592213363,0.8388260067890982,0.9374775498375332,cloudy_cloud_mask,2,2,model_hash_f0fe284a7919d10.pth,0.00003,5,
TIR/DEM,SegFormer,"[""cloudy_Radiance_B10_B11_mean"",""dem""]",0.9030566991761674,0.8135464730837627,split_main_landsat.csv,Dice,0.8560780897269636,0.7710148564405617,0.9117700431151032,0.8880641696280904,0.8540095341540791,0.9334018153546134,cloudy_cloud_mask,2,2,model_hash_24bdb942727ab30.pth,0.00003,5,
TIR,SegFormer,"[""cloudy_Radiance_B10_B11_mean""]",0.9033271927550166,0.8134460104644353,split_main_landsat.csv,Dice,0.8571787060063946,0.7697133149224761,0.9174106748340608,0.879094587834379,0.8608437551307143,0.9288556944802036,cloudy_cloud_mask,2,2,model_hash_50d4e5a4775675d.pth,0.00003,5,
All Bands,SwinCloud,"[""cloudy_B1"",""cloudy_B2"",""cloudy_B3"",""cloudy_B4"",""cloudy_B6"",""cloudy_B7"",""cloudy_B9"",""cloudy_Radiance_B10_B11_mean""]",0.9440640457218498,0.8866495271126971,split_main_landsat.csv,Dice,0.915620733176571,0.8576783210488232,0.959575237580892,0.9173626664473788,0.9294916679069628,0.9523560163470656,cloudy_cloud_mask,2,2,model_hash_349d0614b4b2962.pth,0.0001,10,adamw
TIR/Meteo,SwinCloud,"[""cloudy_Radiance_B10_B11_mean"",""acqt_surface_pressure"",""acqt_dewpoint_2m"",""acqt_skin_temp"",""acqt_total_precip_log"",""acqt_snow_cover_log""]",0.8967661093931274,0.7987425098735996,split_main_landsat.csv,Dice,0.8520311900013194,0.7454538297458798,0.9397573192085348,0.822759894449672,0.8880653313319394,0.90125698150362,cloudy_cloud_mask,2,2,model_hash_3ed2c1ddaef20e8.pth,0.0001,10,adamw
TIR/Aux,SwinCloud,"[""cloudy_Radiance_B10_B11_mean"",""clear_Radiance_B10_B11_mean"",""acqt_surface_pressure"",""acqt_dewpoint_2m"",""acqt_skin_temp"",""acqt_total_precip_log"",""acqt_snow_cover_log"",""dem""]",0.8971965194144518,0.799881872922457,split_main_landsat.csv,Dice,0.852200037239676,0.747563708605238,0.9370939903142526,0.8285159491353448,0.8844068996098183,0.903910189391776,cloudy_cloud_mask,2,2,model_hash_94b05c357339e90.pth,0.0001,10,adamw
TIR/Clear,SwinCloud,"[""cloudy_Radiance_B10_B11_mean"",""clear_Radiance_B10_B11_mean""]",0.8644554823352548,0.7469155388685897,split_main_landsat.csv,Dice,0.80718809701868,0.6866429807184994,0.8970795868896057,0.8082954788286357,0.8202169863097066,0.8895686629148074,cloudy_cloud_mask,2,2,model_hash_15ca3018b7fb26f.pth,0.0001,10,adamw
TIR/DEM,SwinCloud,"[""cloudy_Radiance_B10_B11_mean"",""dem""]",0.8629377626928921,0.7433864674403226,split_main_landsat.csv,Dice,0.8065194523567325,0.6802534825239127,0.9032406301057618,0.793559332046228,0.826517983450581,0.8827909521539891,cloudy_cloud_mask,2,2,model_hash_86bca83db435d3d.pth,0.0001,10,adamw
TIR,SwinCloud,"[""cloudy_Radiance_B10_B11_mean""]",0.8931020817059867,0.7937605894395179,split_main_landsat.csv,Dice,0.8457204885717384,0.7418006903072973,0.9263944720777272,0.835791673173369,0.8683566165958049,0.9066429765056015,cloudy_cloud_mask,2,2,model_hash_50d3a4d1e4b734b.pth,0.0001,10,adamw
All Bands,Unet,"[""cloudy_B1"",""cloudy_B2"",""cloudy_B3"",""cloudy_B4"",""cloudy_B6"",""cloudy_B7"",""cloudy_B9"",""cloudy_Radiance_B10_B11_mean""]",0.928140753615426,0.8574608848350701,split_main_landsat.csv,Dice,0.8921779611078716,0.8227438085622686,0.9401727471956784,0.9074380222027348,0.8981162968511436,0.94587844807257,cloudy_cloud_mask,2,2,model_hash_8042948e961e1f7.pth,0.00003,5,
TIR/Meteo,Unet,"[""cloudy_Radiance_B10_B11_mean"",""acqt_surface_pressure"",""acqt_dewpoint_2m"",""acqt_skin_temp"",""acqt_total_precip_log"",""acqt_snow_cover_log""]",0.8955233275736333,0.7984606747378438,split_main_landsat.csv,Dice,0.8483540463656067,0.7485673031100807,0.9241589842771616,0.8462516665138945,0.8663982287545671,0.9118361629957644,cloudy_cloud_mask,2,2,model_hash_725a4560e9802ed.pth,0.00003,5,
TIR/Aux,Unet,"[""cloudy_Radiance_B10_B11_mean"",""clear_Radiance_B10_B11_mean"",""acqt_surface_pressure"",""acqt_dewpoint_2m"",""acqt_skin_temp"",""acqt_total_precip_log"",""acqt_snow_cover_log"",""dem""]",0.9064547467293356,0.8168170143946738,split_main_landsat.csv,Dice,0.8638906219430965,0.7697434068462511,0.9388009362724684,0.8507985938342313,0.8898634563804445,0.9154445884673548,cloudy_cloud_mask,2,2,model_hash_926a5525032ebf8.pth,0.00003,5,
TIR/Clear,Unet,"[""cloudy_Radiance_B10_B11_mean"",""clear_Radiance_B10_B11_mean""]",0.8843767180923343,0.7814963763564432,split_main_landsat.csv,Dice,0.8310177773073718,0.7319749754055146,0.8990744116229199,0.8590872762787044,0.8318492886342664,0.9165157679059652,cloudy_cloud_mask,2,2,model_hash_f4eadeccba1f59c.pth,0.00003,5,
TIR/DEM,Unet,"[""cloudy_Radiance_B10_B11_mean"",""dem""]",0.8981321812908163,0.8032585841687208,split_main_landsat.csv,Dice,0.8515250044322121,0.7549921639052293,0.9237663536354972,0.854024994771904,0.8668582516144765,0.9158860997424036,cloudy_cloud_mask,2,2,model_hash_14e50d574d379fa.pth,0.00003,5,
TIR,Unet,"[""cloudy_Radiance_B10_B11_mean""]",0.8926526150962178,0.795425428510717,split_main_landsat.csv,Dice,0.8421952914383375,0.7486555655830965,0.9058689408690438,0.869912074144923,0.8430379177706085,0.9229684855948076,cloudy_cloud_mask,2,2,model_hash_41be05a2c8237ec.pth,0.00003,5,
